Date,Energy Source,Renewable Generation [GWh]
2019-01-01,Biomass,32.31
2019-01-01,Geothermal,16.08
2019-01-01,Hydro,67.07
2019-01-01,Photovoltaic,33.86
2019-01-01,Wind,91.38
2019-01-02,Biomass,39.07
2019-01-02,Geothermal,16.03
2019-01-02,Hydro,81.54
2019-01-02,Photovoltaic,30.62
2019-01-02,Wind,82.4
2019-01-03,Biomass,42.96
2019-01-03,Geothermal,16.24
2019-01-03,Hydro,75.97
2019-01-03,Photovoltaic,36.69
2019-01-03,Wind,133.11
2019-01-04,Biomass,44.84
2019-01-04,Geothermal,16.16
2019-01-04,Hydro,87.99
2019-01-04,Photovoltaic,35.56
2019-01-04,Wind,102.39
2019-01-05,Biomass,40.82
2019-01-05,Geothermal,16.05
2019-01-05,Hydro,81.27
2019-01-05,Photovoltaic,29.55
2019-01-05,Wind,80.2
2019-01-06,Biomass,36.84
2019-01-06,Geothermal,16.05
2019-01-06,Hydro,67.82
2019-01-06,Photovoltaic,39.31
2019-01-06,Wind,58.31
2019-01-07,Biomass,51.31
2019-01-07,Geothermal,15.95
2019-01-07,Hydro,98.82
2019-01-07,Photovoltaic,36.82
2019-01-07,Wind,63.62
2019-01-08,Biomass,54.56
2019-01-08,Geothermal,16.08
2019-01-08,Hydro,114.14
2019-01-08,Photovoltaic,22.41
2019-01-08,Wind,71.28
2019-01-09,Biomass,52.41
2019-01-09,Geothermal,16.08
2019-01-09,Hydro,82.42
2019-01-09,Photovoltaic,19.3
2019-01-09,Wind,97.1
2019-01-10,Biomass,54.22
2019-01-10,Geothermal,16.12
2019-01-10,Hydro,92.14
2019-01-10,Photovoltaic,33.27
2019-01-10,Wind,95.25
2019-01-11,Biomass,56.01
2019-01-11,Geothermal,16.08
2019-01-11,Hydro,87.4
2019-01-11,Photovoltaic,39.0
2019-01-11,Wind,43.89
2019-01-12,Biomass,46.0
2019-01-12,Geothermal,16.09
2019-01-12,Hydro,71.58
2019-01-12,Photovoltaic,40.33
2019-01-12,Wind,98.84
2019-01-13,Biomass,40.69
2019-01-13,Geothermal,16.08
2019-01-13,Hydro,67.91
2019-01-13,Photovoltaic,31.72
2019-01-13,Wind,73.53
2019-01-14,Biomass,49.34
2019-01-14,Geothermal,15.86
2019-01-14,Hydro,96.53
2019-01-14,Photovoltaic,33.2
2019-01-14,Wind,110.08
2019-01-15,Biomass,52.92
2019-01-15,Geothermal,16.05
2019-01-15,Hydro,95.54
2019-01-15,Photovoltaic,52.21
2019-01-15,Wind,76.4
2019-01-16,Biomass,54.58
2019-01-16,Geothermal,15.79
2019-01-16,Hydro,93.72
2019-01-16,Photovoltaic,45.22
2019-01-16,Wind,59.56
2019-01-17,Biomass,54.97
2019-01-17,Geothermal,15.84
2019-01-17,Hydro,90.91
2019-01-17,Photovoltaic,26.71
2019-01-17,Wind,58.63
2019-01-18,Biomass,55.04
2019-01-18,Geothermal,15.83
2019-01-18,Hydro,93.93
2019-01-18,Photovoltaic,30.6
2019-01-18,Wind,62.65
2019-01-19,Biomass,48.76
2019-01-19,Geothermal,16.03
2019-01-19,Hydro,81.37
2019-01-19,Photovoltaic,24.38
2019-01-19,Wind,18.63
2019-01-20,Biomass,43.87
2019-01-20,Geothermal,16.0
2019-01-20,Hydro,64.55
2019-01-20,Photovoltaic,29.32
2019-01-20,Wind,9.53
2019-01-21,Biomass,55.1
2019-01-21,Geothermal,16.08
2019-01-21,Hydro,108.0
2019-01-21,Photovoltaic,18.93
2019-01-21,Wind,33.1
2019-01-22,Biomass,56.97
2019-01-22,Geothermal,16.08
2019-01-22,Hydro,106.97
2019-01-22,Photovoltaic,22.63
2019-01-22,Wind,64.36
2019-01-23,Biomass,57.07
2019-01-23,Geothermal,16.08
2019-01-23,Hydro,119.91
2019-01-23,Photovoltaic,24.3
2019-01-23,Wind,47.12
2019-01-24,Biomass,59.97
2019-01-24,Geothermal,16.08
2019-01-24,Hydro,134.6
2019-01-24,Photovoltaic,28.42
2019-01-24,Wind,70.31
2019-01-25,Biomass,53.71
2019-01-25,Geothermal,16.07
2019-01-25,Hydro,89.87
2019-01-25,Photovoltaic,41.58
2019-01-25,Wind,119.77
2019-01-26,Biomass,44.3
2019-01-26,Geothermal,15.99
2019-01-26,Hydro,74.93
2019-01-26,Photovoltaic,42.42
2019-01-26,Wind,101.51
2019-01-27,Biomass,39.86
2019-01-27,Geothermal,15.8
2019-01-27,Hydro,66.69
2019-01-27,Photovoltaic,26.01
2019-01-27,Wind,82.09
2019-01-28,Biomass,49.41
2019-01-28,Geothermal,15.84
2019-01-28,Hydro,91.86
2019-01-28,Photovoltaic,31.68
2019-01-28,Wind,115.36
2019-01-29,Biomass,53.14
2019-01-29,Geothermal,15.76
2019-01-29,Hydro,92.16
2019-01-29,Photovoltaic,49.96
2019-01-29,Wind,25.94
2019-01-30,Biomass,54.93
2019-01-30,Geothermal,15.92
2019-01-30,Hydro,88.76
2019-01-30,Photovoltaic,23.04
2019-01-30,Wind,60.64
2019-01-31,Biomass,51.96
2019-01-31,Geothermal,15.94
2019-01-31,Hydro,98.35
2019-01-31,Photovoltaic,37.1
2019-01-31,Wind,101.24
2019-02-01,Biomass,57.36
2019-02-01,Geothermal,15.54
